"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Create a new product with name and price returns 200 status code instead of 201 which is a defect","FAILURE","2019-11-14T10:08:16.845Z[Europe/London]","0.0","5.03"
"Products CRUD test","Create a new product with name and zero price which is a defect! ","FAILURE","2019-11-14T10:08:22.275Z[Europe/London]","0.0","0.33"
"Products CRUD test","Create a new product without name and some price which is a defect!","FAILURE","2019-11-14T10:08:22.614Z[Europe/London]","0.0","0.3"
"Products CRUD test","Product creates again with with same name and price  which is a defect","FAILURE","2019-11-14T10:08:22.938Z[Europe/London]","0.0","0.32"
"Products CRUD test","Verify if the product was added to the application","SUCCESS","2019-11-14T10:08:23.271Z[Europe/London]","0.0","0.81"
"Products CRUD test","Update the product name and verify the updated information,Expected status code 204 but was 200 which is a defect!","FAILURE","2019-11-14T10:08:24.083Z[Europe/London]","0.0","0.34"
"Products CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-11-14T10:08:24.617Z[Europe/London]","0.0","0.43"
