"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Create a new product with name and price returns 200 status code instead of 201 which is a defect","FAILURE","2019-11-14T10:46:31.081Z[Europe/London]","0.0","5.23"
"Products CRUD test","Create a new product with name and zero price which is a defect! ","FAILURE","2019-11-14T10:46:36.711Z[Europe/London]","0.0","0.38"
"Products CRUD test","Create a new product without name and some price which is a defect!","FAILURE","2019-11-14T10:46:37.114Z[Europe/London]","0.0","0.4"
"Products CRUD test","Product creates again with with same name and price  which is a defect","FAILURE","2019-11-14T10:46:37.527Z[Europe/London]","0.0","0.34"
"Products CRUD test","Update the product name and verify the updated information,Expected status code 204 but was 200 which is a defect!","FAILURE","2019-11-14T10:46:38.654Z[Europe/London]","0.0","0.28"
