"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Verify if the product was added to the application","SUCCESS","2019-11-14T10:08:23.271Z[Europe/London]","0.0","0.81"
"Products CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-11-14T10:08:24.617Z[Europe/London]","0.0","0.43"
