"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Create a new product with name and price returns 200 status code instead of 201 which is a defect","FAILURE","2019-11-13T22:29:56.284Z[Europe/London]","0.0","5.24"
"Products CRUD test","Create a new product with name and zero price which is a defect! ","FAILURE","2019-11-13T22:30:01.915Z[Europe/London]","0.0","0.32"
"Products CRUD test","Create a new product without name and some price which is a defect!","FAILURE","2019-11-13T22:30:02.243Z[Europe/London]","0.0","0.29"
"Products CRUD test","Product creates again with with same name and price  which is a defect","FAILURE","2019-11-13T22:30:02.541Z[Europe/London]","0.0","0.33"
"Products CRUD test","Update the product name and verify the updated information,Expected status code 204 but was 200 which is a defect!","FAILURE","2019-11-13T22:30:03.667Z[Europe/London]","0.0","0.29"
